kode_wilayah,jenis,nama,parent_kode
BDG-BOJONGLOA-KIDUL-MEKARWANGI,KELURAHAN,Mekarwangi,BDG-BOJONGLOA-KIDUL
BDG-BOJONGLOA-KIDUL-SITUSAEUR,KELURAHAN,Situsaeur,BDG-BOJONGLOA-KIDUL
BDG-BUAHBATU,KECAMATAN,Buahbatu,BDG
BDG-BUAHBATU-CIJAWURA,KELURAHAN,Cijawura,BDG-BUAHBATU
BDG-BUAHBATU-JATISARI,KELURAHAN,Jatisari,BDG-BUAHBATU
BDG-BUAHBATU-MARGASARI,KELURAHAN,Margasari,BDG-BUAHBATU
BDG-BUAHBATU-SEKEJATI,KELURAHAN,Sekejati,BDG-BUAHBATU
BDG-CIBEUNYING-KALER,KECAMATAN,Cibeunying Kaler,BDG
BDG-CIBEUNYING-KALER-CIGADUNG,KELURAHAN,Cigadung,BDG-CIBEUNYING-KALER
BDG-CIBEUNYING-KALER-CIHAURGEULIS,KELURAHAN,Cihaurgeulis,BDG-CIBEUNYING-KALER
BDG-CIBEUNYING-KALER-NEGLASARI,KELURAHAN,Neglasari,BDG-CIBEUNYING-KALER
BDG-CIBEUNYING-KALER-SUKALUYU,KELURAHAN,Sukaluyu,BDG-CIBEUNYING-KALER
BDG-CIBEUNYING-KIDUL,KECAMATAN,Cibeunying Kidul,BDG
BDG-CIBEUNYING-KIDUL-CICADAS,KELURAHAN,Cicadas,BDG-CIBEUNYING-KIDUL
BDG-CIBEUNYING-KIDUL-CIKUTRA,KELURAHAN,Cikutra,BDG-CIBEUNYING-KIDUL
BDG-CIBEUNYING-KIDUL-PADASUKA,KELURAHAN,Padasuka,BDG-CIBEUNYING-KIDUL
BDG-CIBEUNYING-KIDUL-PASIRLAYUNG,KELURAHAN,Pasirlayung,BDG-CIBEUNYING-KIDUL
BDG-CIBEUNYING-KIDUL-SUKAMAJU,KELURAHAN,Sukamaju,BDG-CIBEUNYING-KIDUL
BDG-CIBEUNYING-KIDUL-SUKAPADA,KELURAHAN,Sukapada,BDG-CIBEUNYING-KIDUL
BDG-CIBIRU,KECAMATAN,Cibiru,BDG
BDG-CIBIRU-CIPADUNG,KELURAHAN,Cipadung,BDG-CIBIRU
BDG-CIBIRU-CISURUPAN,KELURAHAN,Cisurupan,BDG-CIBIRU
BDG-CIBIRU-PALASARI,KELURAHAN,Palasari,BDG-CIBIRU
BDG-CIBIRU-PASIRBIRU,KELURAHAN,Pasirbiru,BDG-CIBIRU
BDG-CICENDO,KECAMATAN,Cicendo,BDG
BDG-CICENDO-ARJUNA,KELURAHAN,Arjuna,BDG-CICENDO
BDG-CICENDO-HUSEN-SASTRANEGARA,KELURAHAN,Husen Sastranegara,BDG-CICENDO
